device_id,product_class,timestamp,rx_power_dbm,tx_power_dbm,bias_current_ua,supply_voltage_v,temperature_c,rx_power_lower,rx_power_upper,health_score,root_cause
HUAWEI_BOX_007,HG8145V5,2026-02-15 20:05:44,-13.89,2.15,10717.72,3.32,47.63,-28,-8,0,NORMAL
HUAWEI_BOX_024,HG8145V5,2026-02-16 02:05:44,-14.92,3.85,7926.54,3.28,47.34,-28,-8,0,NORMAL
HUAWEI_BOX_023,HG8145V5,2026-02-17 08:05:44,-23.79,4.27,13497.96,3.18,56.4,-28,-8,0,NORMAL
HUAWEI_BOX_012,HG8145V5,2026-02-15 08:05:44,-13.25,3.29,9830.93,3.34,41.33,-28,-8,0,NORMAL
HUAWEI_BOX_024,HG8145V5,2026-02-15 08:05:44,-13.86,3.07,9082.47,3.25,38.5,-28,-8,0,NORMAL
HUAWEI_BOX_019,HG8145V5,2026-02-15 02:05:44,-19.05,3.26,9097.98,3.41,47.97,-28,-8,0,NORMAL
HUAWEI_BOX_015,HG8145V5,2026-02-16 02:05:44,-12.81,3.1,9084.34,3.26,39.18,-28,-8,0,NORMAL
HUAWEI_BOX_024,HG8145V5,2026-02-17 08:05:44,-12.17,3.84,10470.92,3.29,41.78,-28,-8,0,NORMAL
HUAWEI_BOX_008,HG8145V5,2026-02-16 08:05:44,-22.27,4.6,14129.47,3.25,69.56,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_030,HG8145V5,2026-02-16 20:05:44,-17.77,2.47,9237.11,3.29,37.41,-28,-8,0,NORMAL
HUAWEI_BOX_028,HG8145V5,2026-02-17 02:05:44,-15.44,3.36,8179.6,3.35,39.27,-28,-8,0,NORMAL
HUAWEI_BOX_010,HG8145V5,2026-02-16 20:05:44,-23.38,3.64,13016.66,3.25,55.6,-28,-8,0,NORMAL
HUAWEI_BOX_010,HG8145V5,2026-02-15 14:05:44,-23.43,2.71,14471.5,3.24,66.42,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_020,HG8145V5,2026-02-15 14:05:44,-19.45,4.29,9972.32,3.29,63.55,-28,-8,0,NORMAL
HUAWEI_BOX_003,HG8145V5,2026-02-16 08:05:44,-22.55,4.07,11418.02,3.24,60.72,-28,-8,0,NORMAL
HUAWEI_BOX_024,HG8145V5,2026-02-15 14:05:44,-12.4,2.37,9407.35,3.35,55.84,-28,-8,0,NORMAL
HUAWEI_BOX_006,HG8145V5,2026-02-17 08:05:44,-26.61,3.34,13576.77,3.29,64.46,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_001,HG8145V5,2026-02-16 14:05:44,-29.18,5.71,15394.35,3.16,68.87,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_019,HG8145V5,2026-02-16 08:05:44,-23.52,3.1,11439.0,3.32,60.31,-28,-8,0,NORMAL
HUAWEI_BOX_018,HG8145V5,2026-02-15 20:05:44,-20.37,3.69,10513.9,3.3,56.47,-28,-8,0,NORMAL
HUAWEI_BOX_004,HG8145V5,2026-02-15 02:05:44,-30.28,6.6,14993.52,3.21,72.71,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_003,HG8145V5,2026-02-15 14:05:44,-19.53,4.52,9864.58,3.33,57.01,-28,-8,0,NORMAL
HUAWEI_BOX_026,HG8145V5,2026-02-16 14:05:44,-24.57,4.88,11685.52,3.23,71.02,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_006,HG8145V5,2026-02-16 14:05:44,-23.53,4.44,12097.35,3.21,67.51,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_019,HG8145V5,2026-02-16 14:05:44,-24.19,3.84,12153.1,3.2,70.71,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_011,HG8145V5,2026-02-17 02:05:44,-23.21,3.95,13297.81,3.26,54.02,-28,-8,0,NORMAL
HUAWEI_BOX_013,HG8145V5,2026-02-16 14:05:44,-24.71,3.86,12083.94,3.24,66.23,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_024,HG8145V5,2026-02-15 02:05:44,-14.8,3.83,10817.84,3.34,37.39,-28,-8,0,NORMAL
HUAWEI_BOX_020,HG8145V5,2026-02-15 20:05:44,-20.96,3.71,10231.07,3.26,53.38,-28,-8,0,NORMAL
HUAWEI_BOX_013,HG8145V5,2026-02-17 08:05:44,-26.74,3.69,13425.03,3.2,66.63,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_029,HG8145V5,2026-02-15 14:05:44,-18.76,5.14,12748.4,3.29,65.87,-28,-8,0,NORMAL
HUAWEI_BOX_009,HG8145V5,2026-02-15 14:05:44,-15.54,3.3,8825.28,3.3,58.39,-28,-8,0,NORMAL
HUAWEI_BOX_009,HG8145V5,2026-02-16 02:05:44,-17.69,2.95,8482.45,3.28,45.08,-28,-8,0,NORMAL
HUAWEI_BOX_007,HG8145V5,2026-02-16 14:05:44,-14.39,4.18,9973.89,3.24,56.68,-28,-8,0,NORMAL
HUAWEI_BOX_029,HG8145V5,2026-02-17 02:05:44,-21.04,4.52,13556.38,3.3,62.41,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_017,HG8145V5,2026-02-15 20:05:44,-32.06,5.62,15105.55,3.19,71.46,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_016,HG8145V5,2026-02-16 02:05:44,-15.76,2.31,8965.36,3.33,37.42,-28,-8,0,NORMAL
HUAWEI_BOX_002,HG8145V5,2026-02-17 08:05:44,-11.84,4.17,8383.75,3.28,39.92,-28,-8,0,NORMAL
HUAWEI_BOX_013,HG8145V5,2026-02-16 02:05:44,-21.92,3.91,11169.01,3.26,55.14,-28,-8,0,NORMAL
HUAWEI_BOX_008,HG8145V5,2026-02-17 08:05:44,-23.41,4.54,14155.92,3.17,63.46,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_012,HG8145V5,2026-02-16 02:05:44,-18.91,4.15,8202.93,3.36,48.8,-28,-8,0,NORMAL
HUAWEI_BOX_012,HG8145V5,2026-02-17 02:05:44,-16.91,3.06,9331.89,3.29,41.56,-28,-8,0,NORMAL
HUAWEI_BOX_008,HG8145V5,2026-02-15 14:05:44,-19.28,2.83,13678.24,3.21,66.94,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_002,HG8145V5,2026-02-16 08:05:44,-19.08,2.0,8515.37,3.33,38.66,-28,-8,0,NORMAL
HUAWEI_BOX_002,HG8145V5,2026-02-15 02:05:44,-13.08,2.25,9343.09,3.29,45.75,-28,-8,0,NORMAL
HUAWEI_BOX_020,HG8145V5,2026-02-16 02:05:44,-21.96,4.05,10944.74,3.35,55.23,-28,-8,0,NORMAL
HUAWEI_BOX_011,HG8145V5,2026-02-15 08:05:44,-19.77,4.57,14199.33,3.19,59.53,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_007,HG8145V5,2026-02-17 02:05:44,-16.84,2.42,8360.3,3.27,44.65,-28,-8,0,NORMAL
HUAWEI_BOX_023,HG8145V5,2026-02-16 02:05:44,-20.27,4.44,12850.46,3.15,67.63,-28,-8,0,NORMAL
HUAWEI_BOX_004,HG8145V5,2026-02-16 20:05:44,-31.68,4.78,15597.66,3.04,75.33,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_002,HG8145V5,2026-02-16 14:05:44,-16.55,1.67,11169.51,3.3,49.89,-28,-8,0,NORMAL
HUAWEI_BOX_018,HG8145V5,2026-02-17 08:05:44,-25.69,2.59,13521.34,3.29,67.95,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_015,HG8145V5,2026-02-16 20:05:44,-18.81,2.31,9116.05,3.28,49.96,-28,-8,0,NORMAL
HUAWEI_BOX_028,HG8145V5,2026-02-16 02:05:44,-12.63,3.91,9911.71,3.36,47.35,-28,-8,0,NORMAL
HUAWEI_BOX_007,HG8145V5,2026-02-16 20:05:44,-15.09,2.78,8536.71,3.4,41.41,-28,-8,0,NORMAL
HUAWEI_BOX_023,HG8145V5,2026-02-17 02:05:44,-23.56,4.9,12893.77,3.17,64.98,-28,-8,0,NORMAL
HUAWEI_BOX_007,HG8145V5,2026-02-17 08:05:44,-17.86,2.17,8923.14,3.3,40.39,-28,-8,0,NORMAL
HUAWEI_BOX_004,HG8145V5,2026-02-15 08:05:44,-29.57,5.34,17955.97,3.14,74.85,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_019,HG8145V5,2026-02-15 20:05:44,-21.18,4.35,10682.09,3.36,55.44,-28,-8,0,NORMAL
HUAWEI_BOX_027,HG8145V5,2026-02-16 08:05:44,-15.86,3.17,9215.05,3.32,47.71,-28,-8,0,NORMAL
HUAWEI_BOX_023,HG8145V5,2026-02-16 08:05:44,-20.34,3.38,14052.78,3.19,68.78,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_015,HG8145V5,2026-02-15 02:05:44,-15.41,2.55,9270.76,3.33,39.31,-28,-8,0,NORMAL
HUAWEI_BOX_002,HG8145V5,2026-02-17 02:05:44,-13.72,3.84,8455.34,3.29,40.67,-28,-8,0,NORMAL
HUAWEI_BOX_019,HG8145V5,2026-02-15 08:05:44,-19.88,3.52,9525.98,3.28,47.05,-28,-8,0,NORMAL
HUAWEI_BOX_010,HG8145V5,2026-02-16 14:05:44,-18.91,3.97,13155.86,3.17,71.44,-28,-8,0,NORMAL
HUAWEI_BOX_014,HG8145V5,2026-02-15 14:05:44,-20.69,3.17,10267.02,3.34,58.75,-28,-8,0,NORMAL
HUAWEI_BOX_027,HG8145V5,2026-02-15 14:05:44,-18.16,2.42,8106.4,3.3,50.89,-28,-8,0,NORMAL
HUAWEI_BOX_009,HG8145V5,2026-02-16 14:05:44,-14.03,4.15,8347.48,3.35,55.46,-28,-8,0,NORMAL
HUAWEI_BOX_025,HG8145V5,2026-02-17 02:05:44,-30.93,6.2,17707.82,3.11,74.26,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_025,HG8145V5,2026-02-16 08:05:44,-31.42,6.05,15451.81,3.11,69.55,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_012,HG8145V5,2026-02-16 14:05:44,-17.96,3.3,10625.1,3.35,46.2,-28,-8,0,NORMAL
HUAWEI_BOX_015,HG8145V5,2026-02-16 14:05:44,-13.45,2.92,10271.63,3.26,55.8,-28,-8,0,NORMAL
HUAWEI_BOX_030,HG8145V5,2026-02-15 14:05:44,-16.1,3.06,8935.24,3.34,50.51,-28,-8,0,NORMAL
HUAWEI_BOX_020,HG8145V5,2026-02-16 20:05:44,-24.68,2.64,12225.72,3.29,59.12,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_021,HG8145V5,2026-02-16 14:05:44,-19.79,3.1,8523.92,3.36,48.06,-28,-8,0,NORMAL
HUAWEI_BOX_006,HG8145V5,2026-02-16 08:05:44,-22.5,3.44,11252.4,3.33,57.97,-28,-8,0,NORMAL
HUAWEI_BOX_018,HG8145V5,2026-02-15 14:05:44,-20.37,4.39,9892.62,3.28,56.6,-28,-8,0,NORMAL
HUAWEI_BOX_019,HG8145V5,2026-02-16 02:05:44,-22.18,4.72,11127.18,3.25,57.0,-28,-8,0,NORMAL
HUAWEI_BOX_017,HG8145V5,2026-02-16 20:05:44,-29.76,5.16,16653.36,3.1,72.74,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_014,HG8145V5,2026-02-17 08:05:44,-26.25,2.5,13632.47,3.3,68.86,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_026,HG8145V5,2026-02-15 20:05:44,-21.67,2.86,10518.4,3.18,51.65,-28,-8,0,NORMAL
HUAWEI_BOX_004,HG8145V5,2026-02-17 02:05:44,-27.88,6.3,14789.07,3.13,69.55,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_013,HG8145V5,2026-02-16 08:05:44,-23.35,2.75,11342.98,3.26,58.99,-28,-8,0,NORMAL
HUAWEI_BOX_020,HG8145V5,2026-02-16 08:05:44,-21.76,3.96,11573.15,3.31,60.79,-28,-8,0,NORMAL
HUAWEI_BOX_029,HG8145V5,2026-02-15 20:05:44,-22.19,3.67,13803.15,3.2,63.18,-28,-8,0,NORMAL
HUAWEI_BOX_014,HG8145V5,2026-02-16 20:05:44,-25.1,4.87,12775.95,3.25,60.57,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_012,HG8145V5,2026-02-15 14:05:44,-16.93,2.54,10036.37,3.32,54.17,-28,-8,0,NORMAL
HUAWEI_BOX_017,HG8145V5,2026-02-17 02:05:44,-29.11,5.36,16940.89,3.05,71.75,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_012,HG8145V5,2026-02-16 20:05:44,-14.5,4.25,8407.94,3.33,43.12,-28,-8,0,NORMAL
HUAWEI_BOX_028,HG8145V5,2026-02-16 20:05:44,-18.26,3.41,10212.46,3.27,46.26,-28,-8,0,NORMAL
HUAWEI_BOX_028,HG8145V5,2026-02-15 08:05:44,-15.37,1.9,8339.61,3.29,39.36,-28,-8,0,NORMAL
HUAWEI_BOX_016,HG8145V5,2026-02-16 08:05:44,-17.02,3.57,9253.75,3.27,48.18,-28,-8,0,NORMAL
HUAWEI_BOX_018,HG8145V5,2026-02-16 14:05:44,-23.57,5.05,11888.31,3.33,63.7,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_018,HG8145V5,2026-02-17 02:05:44,-26.19,4.45,13135.05,3.26,64.1,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_001,HG8145V5,2026-02-15 14:05:44,-32.91,5.34,15451.53,3.23,77.85,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_012,HG8145V5,2026-02-16 08:05:44,-14.98,2.45,10489.46,3.24,39.64,-28,-8,0,NORMAL
HUAWEI_BOX_015,HG8145V5,2026-02-15 20:05:44,-15.32,3.63,9742.57,3.31,49.5,-28,-8,0,NORMAL
HUAWEI_BOX_018,HG8145V5,2026-02-16 20:05:44,-25.42,3.38,12581.88,3.23,58.83,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_013,HG8145V5,2026-02-15 02:05:44,-18.45,3.42,9051.74,3.28,43.03,-28,-8,0,NORMAL
HUAWEI_BOX_022,HG8145V5,2026-02-15 02:05:44,-17.3,4.02,9255.29,3.22,51.44,-28,-8,0,NORMAL
HUAWEI_BOX_027,HG8145V5,2026-02-15 02:05:44,-15.59,3.51,8224.82,3.35,34.8,-28,-8,0,NORMAL
HUAWEI_BOX_013,HG8145V5,2026-02-16 20:05:44,-26.05,4.7,12168.89,3.32,60.94,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_008,HG8145V5,2026-02-16 02:05:44,-20.29,4.76,13214.76,3.21,64.42,-28,-8,0,NORMAL
HUAWEI_BOX_003,HG8145V5,2026-02-17 08:05:44,-26.53,2.03,13546.19,3.3,64.1,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_009,HG8145V5,2026-02-15 20:05:44,-14.31,2.5,8534.87,3.3,48.06,-28,-8,0,NORMAL
HUAWEI_BOX_027,HG8145V5,2026-02-17 08:05:44,-12.51,3.0,10997.51,3.25,43.97,-28,-8,0,NORMAL
HUAWEI_BOX_011,HG8145V5,2026-02-16 20:05:44,-21.72,3.26,12493.8,3.21,70.01,-28,-8,0,NORMAL
HUAWEI_BOX_023,HG8145V5,2026-02-15 20:05:44,-19.85,4.42,14107.39,3.17,59.58,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_016,HG8145V5,2026-02-17 02:05:44,-13.84,3.81,8524.63,3.33,43.5,-28,-8,0,NORMAL
HUAWEI_BOX_029,HG8145V5,2026-02-15 02:05:44,-22.61,3.21,12942.0,3.22,64.04,-28,-8,0,NORMAL
HUAWEI_BOX_025,HG8145V5,2026-02-16 14:05:44,-31.54,4.45,14742.51,3.16,65.81,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_023,HG8145V5,2026-02-15 14:05:44,-18.45,3.88,13759.54,3.23,62.67,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_007,HG8145V5,2026-02-16 08:05:44,-16.9,2.64,8715.81,3.37,45.08,-28,-8,0,NORMAL
HUAWEI_BOX_020,HG8145V5,2026-02-17 02:05:44,-25.33,2.73,12928.19,3.2,63.92,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_009,HG8145V5,2026-02-16 08:05:44,-18.21,2.8,10345.29,3.3,41.49,-28,-8,0,NORMAL
HUAWEI_BOX_022,HG8145V5,2026-02-15 20:05:44,-20.5,5.09,10679.31,3.23,55.36,-28,-8,0,NORMAL
HUAWEI_BOX_016,HG8145V5,2026-02-17 08:05:44,-18.34,2.39,10164.85,3.31,42.46,-28,-8,0,NORMAL
HUAWEI_BOX_002,HG8145V5,2026-02-15 14:05:44,-19.91,2.42,10615.69,3.32,50.57,-28,-8,0,NORMAL
HUAWEI_BOX_004,HG8145V5,2026-02-16 08:05:44,-30.1,4.18,15109.99,3.25,73.23,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_003,HG8145V5,2026-02-17 02:05:44,-26.55,4.27,12868.88,3.16,64.16,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_015,HG8145V5,2026-02-15 14:05:44,-12.18,3.29,8692.6,3.33,53.84,-28,-8,0,NORMAL
HUAWEI_BOX_029,HG8145V5,2026-02-16 02:05:44,-20.46,4.13,14259.62,3.18,57.7,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_026,HG8145V5,2026-02-16 02:05:44,-21.91,4.86,10996.87,3.21,53.16,-28,-8,0,NORMAL
HUAWEI_BOX_018,HG8145V5,2026-02-15 02:05:44,-18.16,4.5,9065.77,3.31,48.09,-28,-8,0,NORMAL
HUAWEI_BOX_006,HG8145V5,2026-02-15 08:05:44,-18.68,5.24,9525.67,3.23,50.78,-28,-8,0,NORMAL
HUAWEI_BOX_010,HG8145V5,2026-02-16 08:05:44,-19.72,4.75,12556.15,3.19,64.59,-28,-8,0,NORMAL
HUAWEI_BOX_021,HG8145V5,2026-02-17 02:05:44,-14.9,3.42,8409.72,3.32,49.08,-28,-8,0,NORMAL
HUAWEI_BOX_025,HG8145V5,2026-02-16 20:05:44,-29.21,4.64,16903.22,3.22,65.9,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_005,HG8145V5,2026-02-15 08:05:44,-15.53,3.23,9399.5,3.29,45.34,-28,-8,0,NORMAL
HUAWEI_BOX_009,HG8145V5,2026-02-17 08:05:44,-13.99,3.69,9874.77,3.33,40.04,-28,-8,0,NORMAL
HUAWEI_BOX_025,HG8145V5,2026-02-16 02:05:44,-31.42,4.25,17336.77,3.19,68.55,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_014,HG8145V5,2026-02-16 14:05:44,-23.63,5.12,11868.31,3.27,69.59,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_003,HG8145V5,2026-02-16 14:05:44,-23.64,4.31,11981.45,3.28,66.09,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_030,HG8145V5,2026-02-15 20:05:44,-15.61,2.08,10815.71,3.28,41.08,-28,-8,0,NORMAL
HUAWEI_BOX_015,HG8145V5,2026-02-15 08:05:44,-13.02,3.39,9138.04,3.31,42.79,-28,-8,0,NORMAL
HUAWEI_BOX_021,HG8145V5,2026-02-15 02:05:44,-18.83,3.53,8754.56,3.3,37.14,-28,-8,0,NORMAL
HUAWEI_BOX_001,HG8145V5,2026-02-15 02:05:44,-28.98,4.64,16613.33,3.17,68.56,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_027,HG8145V5,2026-02-17 02:05:44,-19.24,3.47,8652.36,3.2,44.29,-28,-8,0,NORMAL
HUAWEI_BOX_028,HG8145V5,2026-02-15 14:05:44,-18.0,3.15,10519.79,3.34,51.81,-28,-8,0,NORMAL
HUAWEI_BOX_011,HG8145V5,2026-02-15 02:05:44,-22.85,4.43,13395.82,3.37,56.37,-28,-8,0,NORMAL
HUAWEI_BOX_026,HG8145V5,2026-02-17 08:05:44,-26.96,4.75,13677.14,3.28,65.33,-28,-8,1,OPTICAL_AGING
HUAWEI_BOX_026,HG8145V5,2026-02-16 08:05:44,-24.07,4.8,11264.62,3.27,54.78,-28,-8,0,NORMAL
HUAWEI_BOX_018,HG8145V5,2026-02-15 08:05:44,-19.88,3.99,9407.98,3.31,48.38,-28,-8,0,NORMAL
HUAWEI_BOX_010,HG8145V5,2026-02-17 02:05:44,-18.37,3.37,13444.37,3.25,63.97,-28,-8,0,NORMAL
HUAWEI_BOX_004,HG8145V5,2026-02-16 14:05:44,-28.67,4.66,17836.31,3.14,76.15,-28,-8,2,CRITICAL_FIBER_ISSUE
HUAWEI_BOX_007,HG8145V5,2026-02-15 08:05:44,-17.56,2.53,8363.99,3.29,48.07,-28,-8,0,NORMAL
HUAWEI_BOX_016,HG8145V5,2026-02-15 02:05:44,-19.0,2.72,9829.97,3.3,38.92,-28,-8,0,NORMAL
HUAWEI_BOX_024,HG8145V5,2026-02-16 14:05:44,-16.57,2.9,8246.76,3.28,52.65,-28,-8,0,NORMAL
