device_id,timestamp,downstream_curr_rate_kbps,downstream_max_rate_kbps,upstream_curr_rate_kbps,upstream_max_rate_kbps,snr_margin_down_db,snr_margin_up_db,attenuation_down_db,attenuation_up_db,crc_errors_total,health_score,root_cause
IGD_048,2026-02-23 09:21:37,7725,19326,2726,2898,17.43,17.1,17.47,22.12,109,0,NORMAL
IGD_274,2026-02-24 21:21:38,10244,20075,2725,3011,24.28,15.81,24.93,24.96,95,0,NORMAL
IGD_255,2026-02-24 09:21:38,7969,17695,2386,2654,19.7,13.39,26.75,28.18,52,0,NORMAL
IGD_005,2026-02-23 21:21:37,3841,19463,1876,2919,13.48,11.04,33.08,42.85,105,0,Line degradation
IGD_029,2026-02-25 03:21:37,3469,13251,975,1987,21.35,12.6,25.11,31.03,336,0,Configuration / Ports overload
IGD_092,2026-02-23 09:21:37,1450,16631,1043,2494,5.72,3.94,38.01,44.28,2420,2,High Interference / Noise
IGD_209,2026-02-23 15:21:38,5920,16054,2237,2408,20.01,13.85,27.67,29.65,71,0,NORMAL
IGD_137,2026-02-22 21:21:37,5817,12709,1792,1906,22.57,16.81,26.79,29.04,34,0,NORMAL
IGD_290,2026-02-24 03:21:38,10673,21831,2957,3274,22.55,16.79,23.86,24.36,64,0,NORMAL
IGD_261,2026-02-23 15:21:38,5247,14910,1923,2236,15.56,18.22,28.79,32.98,27,0,NORMAL
IGD_123,2026-02-24 09:21:37,699,10638,821,1595,5.62,3.67,48.46,53.81,411,2,High Interference / Noise
IGD_030,2026-02-24 09:21:37,1796,12098,669,1814,17.57,13.87,36.6,35.94,320,1,Configuration / Ports overload
IGD_125,2026-02-23 03:21:37,10605,21202,2955,3180,22.78,21.37,17.77,21.81,5,0,NORMAL
IGD_101,2026-02-24 03:21:37,4935,15163,1949,2274,17.25,18.91,33.57,33.96,61,0,NORMAL
IGD_167,2026-02-24 03:21:38,1057,13566,920,2034,5.78,2.52,35.45,37.0,2232,2,High Interference / Noise
IGD_075,2026-02-24 09:21:37,7232,19016,2562,2852,17.16,17.64,21.31,21.61,17,0,NORMAL
IGD_286,2026-02-23 03:21:38,2770,17367,1057,2605,16.57,13.54,27.16,32.54,195,1,Configuration / Ports overload
IGD_030,2026-02-23 03:21:37,2079,12098,742,1814,18.1,13.86,33.74,34.09,248,1,Configuration / Ports overload
IGD_079,2026-02-23 03:21:37,3619,14237,1694,2135,19.04,14.99,42.15,44.49,25,0,Line degradation
IGD_215,2026-02-23 21:21:38,8489,20374,2892,3056,20.4,18.97,28.1,25.95,19,0,NORMAL
IGD_033,2026-02-23 09:21:37,1986,11171,1245,1675,14.28,14.22,46.78,54.39,13,1,Line degradation
IGD_030,2026-02-24 21:21:37,2005,12098,889,1814,17.49,14.56,31.69,32.75,274,1,Configuration / Ports overload
IGD_130,2026-02-24 21:21:37,5134,14398,1839,2159,20.71,13.57,39.59,38.98,5,0,NORMAL
IGD_020,2026-02-23 21:21:37,4067,14652,2041,2197,16.01,13.9,36.08,35.21,4,0,NORMAL
IGD_007,2026-02-23 15:21:37,3675,18217,1822,2732,14.49,9.52,26.26,34.91,181,0,Crosstalk / Saturation
IGD_040,2026-02-23 15:21:37,1008,12569,986,1885,4.98,3.12,27.29,31.72,2144,2,High Interference / Noise
IGD_073,2026-02-24 15:21:37,3304,9838,1396,1475,21.86,13.62,42.24,43.39,81,0,NORMAL
IGD_159,2026-02-23 15:21:37,1237,8914,855,1337,15.72,13.06,54.8,56.21,2,1,Line degradation
IGD_155,2026-02-24 15:21:37,5124,12219,1722,1832,24.65,15.39,39.08,38.18,60,0,NORMAL
IGD_243,2026-02-24 03:21:38,2160,12148,810,1822,20.82,15.68,36.08,36.74,299,1,Configuration / Ports overload
IGD_002,2026-02-23 21:21:37,2881,15893,1672,2383,15.84,12.19,41.57,48.75,53,0,Line degradation
IGD_257,2026-02-24 15:21:38,9423,19839,2688,2975,19.34,16.37,19.68,19.26,134,0,NORMAL
IGD_161,2026-02-22 21:21:38,4700,13936,1836,2090,22.17,18.13,40.12,42.7,22,0,NORMAL
IGD_110,2026-02-22 21:21:37,10327,18952,2648,2842,22.09,16.77,16.24,19.98,38,0,NORMAL
IGD_212,2026-02-23 03:21:38,3560,9413,1230,1411,23.86,19.98,42.28,43.58,92,0,NORMAL
IGD_021,2026-02-23 15:21:37,6257,22151,2132,3322,15.1,14.19,20.73,28.53,148,0,Line degradation
IGD_242,2026-02-24 21:21:38,1171,12946,1389,1941,7.48,6.02,48.37,54.59,436,1,Line degradation
IGD_016,2026-02-23 09:21:37,2401,9134,1175,1370,19.83,18.64,43.71,46.78,83,0,NORMAL
IGD_291,2026-02-23 03:21:38,7033,18422,2604,2763,16.51,19.7,19.69,24.52,1,0,NORMAL
IGD_136,2026-02-25 03:21:37,2920,13731,1016,2059,21.67,18.0,23.99,22.04,242,1,Configuration / Ports overload
IGD_078,2026-02-23 09:21:37,4856,15905,2067,2385,21.77,17.11,39.0,40.28,21,0,NORMAL
IGD_268,2026-02-24 21:21:38,3012,16240,1121,2436,13.5,12.79,26.2,28.02,295,0,Configuration / Ports overload
IGD_101,2026-02-23 03:21:37,6547,15163,2115,2274,24.18,19.59,34.57,35.35,7,0,NORMAL
IGD_072,2026-02-24 21:21:37,559,8897,832,1334,8.38,5.36,58.86,69.9,1022,2,Line degradation
IGD_062,2026-02-23 09:21:37,6558,16078,2200,2411,22.25,17.47,28.95,30.44,37,0,NORMAL
IGD_085,2026-02-23 09:21:37,7206,17681,2489,2652,23.49,14.22,35.68,36.33,59,0,NORMAL
IGD_027,2026-02-24 09:21:37,3363,21085,2359,3162,9.19,9.58,35.82,43.61,284,0,Line degradation
IGD_006,2026-02-23 03:21:37,8289,21533,2790,3229,16.97,22.39,25.54,25.46,108,0,NORMAL
IGD_120,2026-02-24 03:21:37,2420,13381,1492,2007,12.18,9.82,40.17,46.39,56,0,Line degradation
IGD_128,2026-02-22 21:21:37,5460,21728,1709,3259,17.39,12.95,19.63,24.85,328,0,Configuration / Ports overload
IGD_150,2026-02-23 03:21:37,9411,22675,2502,3401,19.82,16.85,19.48,20.67,5,0,Line degradation
IGD_159,2026-02-23 09:21:37,1525,8914,861,1337,18.28,14.45,49.19,56.92,26,1,Line degradation
IGD_053,2026-02-23 03:21:37,771,9059,870,1358,7.67,4.57,40.46,44.72,1006,2,High Interference / Noise
IGD_170,2026-02-23 21:21:38,903,8044,803,1206,10.33,7.28,41.08,49.82,931,1,Crosstalk / Saturation
IGD_267,2026-02-23 15:21:38,931,15598,1106,2339,4.49,0.64,32.72,38.65,1336,2,High Interference / Noise
IGD_275,2026-02-24 21:21:38,3546,23253,2541,3487,10.1,4.65,24.69,31.21,513,1,Crosstalk / Saturation
IGD_193,2026-02-23 03:21:38,7507,16534,2113,2480,22.3,19.59,29.3,28.64,41,0,NORMAL
IGD_011,2026-02-23 09:21:37,4386,14904,1348,2235,18.56,16.11,33.7,38.88,24,0,Line degradation
IGD_070,2026-02-24 03:21:37,2194,15604,1646,2340,11.25,10.85,44.08,48.9,27,0,Line degradation
IGD_234,2026-02-23 09:21:38,3957,14943,1445,2241,15.19,14.59,34.85,40.26,0,0,Line degradation
IGD_273,2026-02-23 21:21:38,1862,9983,810,1497,21.58,15.49,43.45,41.99,354,0,Configuration / Ports overload
IGD_228,2026-02-23 09:21:38,5907,16956,2329,2543,20.83,14.28,39.56,45.34,20,0,NORMAL
IGD_249,2026-02-23 09:21:38,4093,16501,1963,2475,17.4,13.34,35.33,42.51,8,0,Line degradation
IGD_185,2026-02-23 09:21:38,6674,16041,2115,2406,22.21,16.52,33.02,30.44,108,0,NORMAL
IGD_184,2026-02-22 21:21:38,3442,14517,978,2177,20.77,17.96,33.24,35.11,229,0,Configuration / Ports overload
IGD_080,2026-02-23 21:21:37,2669,9142,1181,1371,21.76,15.49,44.57,44.34,16,1,NORMAL
IGD_183,2026-02-22 21:21:38,6114,15358,1974,2303,24.13,18.85,32.11,38.85,79,0,NORMAL
IGD_201,2026-02-23 03:21:38,1050,14758,1364,2213,2.25,2.3,28.67,32.16,2765,2,High Interference / Noise
IGD_015,2026-02-23 21:21:37,4019,19019,1952,2852,13.7,13.33,28.12,37.21,148,0,Line degradation
IGD_253,2026-02-24 03:21:38,1145,12570,766,1885,7.04,2.79,33.48,41.57,953,2,High Interference / Noise
IGD_134,2026-02-22 21:21:37,483,8904,730,1335,2.88,4.9,47.35,54.05,967,2,High Interference / Noise
IGD_248,2026-02-24 15:21:38,13836,23091,3092,3463,21.88,13.59,17.02,20.13,51,0,NORMAL
IGD_289,2026-02-23 03:21:38,10929,22831,3222,3424,24.48,17.24,20.52,27.85,22,0,NORMAL
IGD_033,2026-02-23 03:21:37,2813,11171,1184,1675,18.68,16.88,46.26,51.78,72,0,Line degradation
IGD_127,2026-02-23 03:21:37,7363,21069,2170,3160,17.02,14.12,25.66,32.03,85,0,Line degradation
IGD_242,2026-02-23 21:21:38,2683,12946,1286,1941,13.94,11.31,35.16,43.99,57,0,Line degradation
IGD_127,2026-02-25 03:21:37,1713,21069,2489,3160,6.5,4.72,36.93,48.22,762,1,Line degradation
IGD_177,2026-02-22 21:21:38,6160,14382,1866,2157,20.44,17.48,30.27,30.15,63,0,NORMAL
IGD_042,2026-02-24 09:21:37,3447,12971,1803,1945,17.1,17.71,40.96,39.29,37,0,NORMAL
IGD_264,2026-02-23 03:21:38,6014,19622,2093,2943,19.22,15.83,25.67,34.96,5,0,Line degradation
IGD_230,2026-02-23 03:21:38,7601,21803,2899,3270,17.04,14.71,22.42,23.86,20,0,NORMAL
IGD_018,2026-02-23 21:21:37,473,9377,761,1406,4.81,3.05,40.56,42.84,2445,2,High Interference / Noise
IGD_173,2026-02-24 03:21:38,2544,9921,1281,1488,21.39,16.77,46.2,48.19,15,1,NORMAL
IGD_218,2026-02-24 03:21:38,885,17326,1595,2598,5.02,5.89,34.01,36.6,2702,2,High Interference / Noise
IGD_005,2026-02-24 03:21:37,3542,19463,2185,2919,11.44,10.59,36.67,41.23,46,0,Line degradation
IGD_069,2026-02-24 03:21:37,14567,23762,3357,3564,24.05,23.14,18.98,17.6,24,0,NORMAL
IGD_161,2026-02-24 15:21:38,4728,13936,1979,2090,22.35,19.44,37.88,41.13,48,0,NORMAL
IGD_124,2026-02-23 03:21:37,11273,22076,2953,3311,22.68,20.93,23.31,29.92,0,0,NORMAL
IGD_087,2026-02-23 09:21:37,3034,17112,1262,2566,15.03,14.87,28.32,33.8,324,0,Configuration / Ports overload
IGD_197,2026-02-24 03:21:38,1789,19907,1256,2986,6.24,3.52,27.29,32.58,794,2,High Interference / Noise
IGD_034,2026-02-23 03:21:37,1001,12501,1130,1875,4.92,5.86,30.44,38.97,1395,2,High Interference / Noise
IGD_010,2026-02-23 15:21:37,6532,21231,2500,3184,15.05,12.56,26.73,31.82,46,0,Line degradation
IGD_165,2026-02-23 03:21:38,4595,23001,1857,3450,20.05,13.96,20.26,23.37,493,1,Configuration / Ports overload
IGD_299,2026-02-24 09:21:38,1670,16191,1523,2428,11.82,8.83,51.4,54.67,586,1,Line degradation
IGD_051,2026-02-24 09:21:37,1533,14610,1481,2191,11.76,10.09,49.28,59.28,94,1,Line degradation
IGD_291,2026-02-25 03:21:38,8684,18422,2620,2763,21.32,18.46,14.28,15.95,33,0,NORMAL
IGD_205,2026-02-24 03:21:38,2994,17140,1710,2571,12.86,6.86,39.46,53.12,174,0,Crosstalk / Saturation
IGD_050,2026-02-24 03:21:37,1832,14218,873,2132,13.31,9.9,35.0,35.46,336,1,Configuration / Ports overload
IGD_214,2026-02-23 09:21:38,2211,15879,1290,2381,15.28,17.37,35.11,39.25,291,1,Configuration / Ports overload
IGD_001,2026-02-22 21:21:37,1865,12508,786,1876,16.41,16.25,39.88,42.37,188,1,Configuration / Ports overload
IGD_032,2026-02-23 21:21:37,1306,9863,755,1479,14.92,14.52,46.19,49.1,294,0,Configuration / Ports overload
IGD_128,2026-02-23 09:21:37,4624,21728,1633,3259,15.53,16.31,15.35,15.35,332,0,Configuration / Ports overload
IGD_195,2026-02-23 03:21:38,1640,11778,760,1766,14.41,12.88,41.37,42.88,186,0,Configuration / Ports overload
IGD_297,2026-02-24 15:21:38,5014,23042,1510,3456,14.11,12.51,16.55,22.28,175,0,Configuration / Ports overload
IGD_132,2026-02-24 09:21:37,12311,23901,3190,3585,24.96,14.86,28.21,31.51,122,0,NORMAL
IGD_076,2026-02-24 03:21:37,3420,18137,1771,2720,12.89,10.88,27.87,34.93,194,0,Crosstalk / Saturation
IGD_178,2026-02-22 21:21:38,658,10958,1084,1643,5.91,7.22,51.5,61.19,712,1,Crosstalk / Saturation
IGD_121,2026-02-22 21:21:37,8840,23634,2245,3545,19.37,17.06,19.27,29.8,40,0,Line degradation
IGD_218,2026-02-23 21:21:38,1460,17326,1252,2598,4.18,3.18,34.23,40.69,2017,2,High Interference / Noise
IGD_200,2026-02-23 03:21:38,4570,14950,1636,2242,21.06,15.16,36.78,40.62,71,0,Line degradation
IGD_088,2026-02-25 03:21:37,2372,22667,1866,3400,6.89,4.49,16.82,23.68,797,2,High Interference / Noise
IGD_077,2026-02-24 03:21:37,4121,21154,2474,3173,15.83,9.56,32.29,37.64,61,0,Line degradation
IGD_093,2026-02-24 15:21:37,11294,19282,2470,2892,23.97,18.63,15.62,16.18,31,0,NORMAL
IGD_238,2026-02-24 15:21:38,3259,22784,2223,3417,9.14,7.32,24.62,29.82,239,1,Crosstalk / Saturation
IGD_138,2026-02-23 21:21:37,9316,23517,3169,3527,17.56,13.02,18.45,23.55,52,0,NORMAL
IGD_182,2026-02-23 21:21:38,9464,20800,2928,3120,21.94,20.78,20.38,24.37,20,0,NORMAL
IGD_180,2026-02-24 21:21:38,5950,13052,1696,1957,25.0,16.71,26.75,35.24,25,0,NORMAL
IGD_093,2026-02-25 03:21:37,11541,19282,2495,2892,25.15,17.34,14.92,15.16,34,0,NORMAL
IGD_044,2026-02-24 09:21:37,2809,13601,911,2040,17.31,12.44,30.34,33.77,278,0,Configuration / Ports overload
IGD_020,2026-02-24 09:21:37,6648,14652,1967,2197,24.23,20.44,32.51,35.23,52,0,NORMAL
IGD_177,2026-02-23 09:21:38,6450,14382,2003,2157,21.32,21.61,30.09,26.84,21,0,NORMAL
IGD_107,2026-02-23 21:21:37,526,13094,1223,1964,3.71,3.77,44.9,50.57,1073,2,High Interference / Noise
IGD_235,2026-02-23 09:21:38,2504,23196,1758,3479,6.05,4.95,18.66,22.77,985,2,High Interference / Noise
IGD_253,2026-02-24 21:21:38,1107,12570,862,1885,6.8,6.05,28.23,35.27,2187,2,High Interference / Noise
IGD_127,2026-02-24 21:21:37,2574,21069,1974,3160,5.63,6.03,38.76,47.52,710,1,Line degradation
IGD_233,2026-02-23 15:21:38,6290,20988,2317,3148,16.73,11.25,23.74,31.58,25,0,Line degradation
IGD_278,2026-02-25 03:21:38,4272,17080,2374,2562,15.23,20.93,39.42,42.79,14,0,NORMAL
IGD_223,2026-02-24 03:21:38,2224,17065,2014,2559,10.93,9.47,46.37,54.83,37,1,Line degradation
IGD_046,2026-02-22 21:21:37,9163,20277,2661,3041,19.72,20.42,14.89,19.93,44,0,NORMAL
IGD_217,2026-02-23 21:21:38,5045,23344,1559,3501,12.38,12.34,19.93,19.1,307,0,Configuration / Ports overload
IGD_238,2026-02-23 09:21:38,3618,22784,2627,3417,7.8,13.38,28.06,30.69,431,1,Crosstalk / Saturation
IGD_202,2026-02-23 09:21:38,1041,15879,1211,2381,4.67,0.84,31.86,40.63,1362,2,High Interference / Noise
IGD_028,2026-02-22 21:21:37,2593,10949,1100,1642,17.65,16.37,40.56,44.91,24,0,Line degradation
IGD_185,2026-02-22 21:21:38,5538,16041,2156,2406,17.85,13.34,27.64,27.98,32,0,NORMAL
IGD_294,2026-02-23 21:21:38,1525,20559,1610,3083,2.52,2.28,20.0,27.49,1732,2,High Interference / Noise
IGD_098,2026-02-24 21:21:37,3884,16014,912,2402,20.55,17.79,34.39,39.69,259,0,Configuration / Ports overload
IGD_217,2026-02-24 09:21:38,5339,23344,1623,3501,15.15,9.47,18.43,22.94,439,0,Configuration / Ports overload
IGD_036,2026-02-23 21:21:37,11718,22985,3128,3447,22.16,17.06,20.41,22.08,32,0,NORMAL
IGD_188,2026-02-24 09:21:38,2006,16254,1937,2438,11.01,9.92,46.88,52.74,411,1,Line degradation
IGD_019,2026-02-23 21:21:37,7315,18241,2454,2736,16.71,13.49,21.41,22.9,105,0,NORMAL
IGD_275,2026-02-23 21:21:38,3696,23253,2195,3487,9.0,3.01,25.87,33.73,381,1,Crosstalk / Saturation
IGD_162,2026-02-23 21:21:38,9185,22388,3175,3358,20.26,16.82,22.78,26.24,82,0,NORMAL
IGD_276,2026-02-25 03:21:38,4646,14961,2072,2244,18.5,14.41,33.6,37.61,22,0,NORMAL
IGD_171,2026-02-24 09:21:38,2306,16597,1545,2489,10.74,10.82,37.27,40.23,103,0,Line degradation
IGD_187,2026-02-23 03:21:38,5201,17570,2477,2635,15.61,22.09,35.7,39.89,36,0,NORMAL
IGD_025,2026-02-24 09:21:37,1848,14003,1378,2100,10.2,6.95,40.48,48.53,326,1,Crosstalk / Saturation
IGD_056,2026-02-24 03:21:37,2074,8608,1126,1291,16.11,14.83,44.05,47.16,15,0,NORMAL
IGD_176,2026-02-23 09:21:38,1517,9313,1097,1396,16.3,12.82,50.47,55.97,19,1,Line degradation
IGD_137,2026-02-23 21:21:37,5056,12709,1631,1906,16.4,17.49,29.78,25.75,81,0,NORMAL
IGD_007,2026-02-24 15:21:37,3417,18217,2085,2732,12.72,7.83,26.57,31.45,176,0,Crosstalk / Saturation
IGD_262,2026-02-24 21:21:38,4891,16249,2074,2437,21.86,12.19,41.88,44.33,9,0,NORMAL
IGD_229,2026-02-23 21:21:38,4668,13010,1776,1951,14.71,13.08,29.57,32.59,47,0,NORMAL
IGD_054,2026-02-23 09:21:37,4747,14813,2027,2221,19.65,20.37,34.93,43.46,45,0,NORMAL
IGD_288,2026-02-23 15:21:38,3582,17460,1773,2619,16.13,13.05,40.22,45.81,16,0,Line degradation
IGD_271,2026-02-24 03:21:38,2837,16473,1109,2470,19.34,18.39,37.44,40.69,309,1,Configuration / Ports overload
IGD_151,2026-02-23 09:21:37,4607,17732,2009,2659,17.24,14.99,30.38,36.23,15,0,Line degradation
IGD_077,2026-02-23 03:21:37,8284,21154,2349,3173,19.5,15.3,22.95,30.61,4,0,Line degradation
IGD_276,2026-02-23 09:21:38,6395,14961,1915,2244,21.19,16.8,34.14,34.69,29,0,NORMAL
IGD_122,2026-02-23 03:21:37,1554,10749,692,1612,17.99,17.94,41.7,48.74,232,0,Configuration / Ports overload
IGD_225,2026-02-23 15:21:38,6255,17254,2368,2588,19.73,18.73,30.95,36.06,54,0,NORMAL
IGD_180,2026-02-23 15:21:38,4913,13052,1687,1957,20.04,12.67,29.46,33.02,135,0,NORMAL
IGD_054,2026-02-24 03:21:37,4924,14813,1907,2221,20.14,19.22,38.72,38.07,51,0,NORMAL
IGD_175,2026-02-24 09:21:38,5478,15114,2038,2267,19.89,14.24,29.07,32.86,32,0,NORMAL
IGD_047,2026-02-23 15:21:37,2698,14916,863,2237,20.9,12.91,33.46,35.92,314,1,Configuration / Ports overload
IGD_268,2026-02-24 15:21:38,2808,16240,1269,2436,16.66,14.84,29.57,35.14,546,0,Configuration / Ports overload
IGD_184,2026-02-25 03:21:38,3419,14517,1025,2177,21.4,15.83,34.26,35.98,392,0,Configuration / Ports overload
IGD_287,2026-02-23 09:21:38,7003,17347,2326,2602,20.53,17.91,25.98,35.03,41,0,NORMAL
IGD_013,2026-02-23 21:21:37,4948,14304,2021,2145,18.58,10.5,26.97,32.52,30,0,NORMAL
IGD_018,2026-02-24 21:21:37,666,9377,659,1406,7.21,3.8,38.17,44.84,911,2,High Interference / Noise
IGD_020,2026-02-23 09:21:37,6765,14652,1927,2197,23.67,19.33,30.95,31.11,38,0,NORMAL
IGD_231,2026-02-24 15:21:38,9893,18780,2540,2817,22.02,18.04,18.35,26.21,40,0,NORMAL
IGD_143,2026-02-25 03:21:37,1179,9590,729,1438,19.65,17.35,45.74,46.09,365,1,Configuration / Ports overload
IGD_170,2026-02-23 03:21:38,858,8044,956,1206,9.5,11.08,40.53,49.41,641,1,Crosstalk / Saturation
IGD_075,2026-02-23 03:21:37,7384,19016,2483,2852,16.91,18.05,20.91,28.5,25,0,NORMAL
IGD_104,2026-02-23 21:21:37,4616,19252,2122,2887,13.5,13.68,28.31,37.66,17,0,Line degradation
IGD_197,2026-02-24 09:21:38,2316,19907,1374,2986,9.32,3.37,23.12,26.62,1135,2,High Interference / Noise
IGD_048,2026-02-24 21:21:37,9791,19326,2692,2898,22.41,15.87,17.86,23.98,40,0,NORMAL
IGD_103,2026-02-24 15:21:37,2994,10923,1406,1638,19.95,13.68,42.17,47.18,90,0,NORMAL
IGD_261,2026-02-23 03:21:38,5393,14910,2035,2236,19.61,18.72,26.74,35.68,44,0,NORMAL
IGD_037,2026-02-24 21:21:37,5793,16382,2329,2457,18.71,19.62,31.16,37.75,16,0,NORMAL
IGD_253,2026-02-23 15:21:38,876,12570,1162,1885,4.9,3.44,29.06,33.45,1760,2,High Interference / Noise
IGD_085,2026-02-24 03:21:37,4800,17681,2440,2652,18.47,14.59,35.77,36.41,66,0,NORMAL
IGD_026,2026-02-24 09:21:37,3021,10758,1532,1613,20.6,20.09,46.19,44.15,17,0,NORMAL
IGD_123,2026-02-23 09:21:37,540,10638,941,1595,5.77,3.35,47.37,52.35,511,2,High Interference / Noise
IGD_200,2026-02-23 09:21:38,3636,14950,1773,2242,14.57,14.38,37.85,46.84,124,0,Line degradation
IGD_022,2026-02-23 03:21:37,2527,23089,1463,3463,5.83,4.85,11.47,19.18,825,2,High Interference / Noise
IGD_269,2026-02-25 03:21:38,446,10663,1060,1599,5.69,3.47,59.39,63.67,917,2,Line degradation
IGD_195,2026-02-25 03:21:38,1733,11778,844,1766,19.79,12.42,42.03,45.17,206,0,Configuration / Ports overload
IGD_137,2026-02-23 09:21:37,5984,12709,1789,1906,22.54,13.65,25.15,28.11,54,0,NORMAL
IGD_216,2026-02-23 03:21:38,5466,12236,1687,1835,22.44,15.04,31.2,34.52,24,0,NORMAL
IGD_216,2026-02-23 15:21:38,5118,12236,1686,1835,21.94,13.63,31.1,32.4,10,0,NORMAL
IGD_057,2026-02-24 15:21:37,2029,20647,1456,3097,5.44,3.22,27.04,30.48,1096,2,High Interference / Noise
IGD_221,2026-02-24 09:21:38,7437,14383,2023,2157,23.56,16.6,30.37,33.91,8,0,NORMAL
IGD_210,2026-02-23 15:21:38,6737,22556,2524,3383,13.61,13.5,27.12,35.05,28,0,Line degradation
IGD_172,2026-02-22 21:21:38,1864,14533,817,2179,16.37,13.26,40.73,41.99,155,1,Configuration / Ports overload
IGD_127,2026-02-23 15:21:37,5853,21069,1990,3160,16.19,14.95,27.4,33.41,105,0,Line degradation
IGD_213,2026-02-23 15:21:38,4824,20729,1966,3109,14.1,11.77,23.87,33.43,88,0,Crosstalk / Saturation
IGD_080,2026-02-24 21:21:37,2287,9142,1224,1371,19.19,22.5,41.23,46.8,43,0,NORMAL
IGD_009,2026-02-22 21:21:37,1978,21094,2083,3164,4.03,7.73,29.29,32.45,1256,2,Crosstalk / Saturation
IGD_004,2026-02-23 09:21:37,2383,13013,1208,1951,13.29,10.73,30.28,38.18,202,0,Crosstalk / Saturation
IGD_042,2026-02-23 21:21:37,4154,12971,1729,1945,20.75,17.81,37.68,43.54,6,0,NORMAL
IGD_181,2026-02-23 21:21:38,5577,22025,1761,3303,20.05,11.4,20.59,27.68,414,0,Configuration / Ports overload
IGD_222,2026-02-23 15:21:38,1158,9946,1146,1491,9.98,10.56,40.83,49.99,429,0,Crosstalk / Saturation
IGD_133,2026-02-23 03:21:37,3913,15935,1697,2390,17.28,17.0,38.07,44.69,100,0,Line degradation
IGD_157,2026-02-24 15:21:37,2887,11346,1614,1701,15.66,17.91,43.78,50.0,5,0,NORMAL
IGD_079,2026-02-23 15:21:37,2232,14237,1398,2135,16.35,12.62,46.2,49.83,20,1,Line degradation
IGD_300,2026-02-23 03:21:38,6060,13284,1742,1992,23.17,17.45,25.34,30.3,2,0,NORMAL
IGD_142,2026-02-23 09:21:37,1361,10997,1247,1649,13.95,7.48,44.51,50.92,184,0,Crosstalk / Saturation
IGD_046,2026-02-24 15:21:37,11354,20277,2835,3041,19.46,18.19,16.99,18.63,82,0,NORMAL
IGD_014,2026-02-25 03:21:37,6360,14271,1951,2140,24.68,15.67,34.77,37.0,4,0,NORMAL
IGD_224,2026-02-22 21:21:38,2813,17569,1075,2635,17.54,14.1,38.0,39.27,134,0,Configuration / Ports overload
IGD_103,2026-02-24 03:21:37,2893,10923,1420,1638,20.15,14.51,43.77,46.34,22,0,NORMAL
IGD_009,2026-02-24 21:21:37,1617,21094,2380,3164,3.51,7.24,22.57,36.49,3992,2,Crosstalk / Saturation
IGD_145,2026-02-23 09:21:37,12542,23721,3362,3558,23.0,19.54,18.11,21.92,3,0,NORMAL
IGD_184,2026-02-23 03:21:38,2000,14517,891,2177,19.17,16.12,31.87,37.82,394,1,Configuration / Ports overload
IGD_258,2026-02-24 09:21:38,3595,11224,1434,1683,18.6,18.66,42.33,39.13,81,0,NORMAL
IGD_026,2026-02-23 21:21:37,3453,10758,1462,1613,23.82,20.16,44.38,45.14,15,0,NORMAL
IGD_061,2026-02-24 03:21:37,2855,11057,1436,1658,17.86,13.92,40.38,42.44,2,0,NORMAL
