device_id,rx_T1,rx_T2,rx_T3,rx_T4,rx_T5,rx_T6,rx_T7,rx_T8,rx_T9,rx_T10,timestamp_T1,timestamp_T2,timestamp_T3,timestamp_T4,timestamp_T5,timestamp_T6,timestamp_T7,timestamp_T8,timestamp_T9,timestamp_T10,health_score,root_cause,vendor,slope,rx_mean,rx_std,rx_min,rx_max,rx_last,rx_first,ci_lower,ci_upper,rx_threshold,jours_avant_seuil,niveau_risque
HUAWEI_BOX_011,-18.03,-18.89,-20.38,-21.39,-21.02,-22.22,-24.18,-25.85,-25.23,-26.7,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-0.9633333333333332,-22.388999999999996,2.98185046946057,-26.7,-18.03,-26.7,-18.03,-32.54442692014272,-20.855573079857283,-28.0,1.35,critique
HUAWEI_BOX_012,-18.58,-18.6,-20.52,-20.13,-21.91,-22.96,-24.08,-25.39,-26.73,-27.22,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-0.9600000000000001,-22.611999999999995,3.1897014837685917,-27.22,-18.58,-27.22,-18.58,-33.47181490818644,-20.96818509181356,-28.0,0.81,critique
HUAWEI_BOX_013,-18.18,-18.25,-19.9,-21.69,-21.7,-23.69,-23.56,-25.26,-25.35,-26.47,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-0.921111111111111,-22.404999999999998,2.9576914796660065,-26.47,-18.18,-26.47,-18.18,-32.26707530014537,-20.672924699854626,-28.0,1.66,critique
HUAWEI_BOX_014,-21.95,-22.97,-22.87,-22.24,-23.57,-21.74,-21.39,-21.46,-23.35,-19.54,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,0.2677777777777778,-22.108,1.1884424914801541,-23.57,-19.54,-19.54,-21.95,-21.869347283301103,-17.210652716698895,-28.0,,stable
HUAWEI_BOX_015,-18.61,-13.68,-18.71,-13.33,-13.16,-15.81,-17.03,-13.61,-19.09,-19.1,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.05444444444444466,-16.213,2.5872896586539706,-19.1,-13.16,-19.1,-18.61,-24.171087730961784,-14.02891226903822,-28.0,163.47,faible
HUAWEI_BOX_016,-17.47,-19.62,-20.15,-21.79,-22.22,-23.41,-23.68,-25.04,-25.54,-27.33,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-1.0955555555555554,-22.625,2.9960464690061874,-27.33,-17.47,-27.33,-17.47,-33.20225107925212,-21.45774892074787,-28.0,0.61,critique
HUAWEI_BOX_017,-20.68,-19.41,-22.44,-19.39,-17.88,-20.68,-20.82,-22.14,-23.55,-20.77,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.009999999999999985,-20.776000000000003,1.6505433448817195,-23.55,-17.88,-20.77,-20.68,-24.00506495596817,-17.53493504403183,-28.0,723.0,faible
HUAWEI_BOX_018,-18.49,-19.57,-17.87,-17.96,-19.36,-17.36,-15.08,-16.78,-12.02,-17.08,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.15666666666666668,-17.157000000000004,2.2235559608678868,-19.57,-12.02,-17.08,-18.49,-21.438169683301055,-12.721830316698941,-28.0,,stable
HUAWEI_BOX_019,-23.1,-20.81,-19.55,-19.28,-21.13,-22.75,-23.72,-20.48,-22.06,-23.09,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,0.0011111111111112848,-21.596999999999998,1.5699543517779955,-23.72,-19.28,-23.09,-23.1,-26.16711052948487,-20.01288947051513,-28.0,,stable
HUAWEI_BOX_020,-18.55,-14.33,-20.64,-19.24,-12.93,-18.78,-12.78,-16.64,-15.92,-17.86,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.07666666666666681,-16.766999999999996,2.7250486234194065,-20.64,-12.78,-17.86,-18.55,-23.201095301902036,-12.518904698097963,-28.0,,stable
HUAWEI_BOX_021,-18.3,-18.8,-20.43,-20.55,-22.7,-23.04,-24.13,-25.35,-26.6,-27.46,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-1.017777777777778,-22.735999999999997,3.186482560930016,-27.46,-18.3,-27.46,-18.3,-33.70550581942283,-21.21449418057717,-28.0,0.53,critique
HUAWEI_BOX_022,-23.94,-18.48,-24.06,-19.24,-22.55,-19.7,-23.01,-21.84,-18.75,-19.7,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.4711111111111113,-21.127,2.1828780695830603,-24.06,-18.48,-19.7,-23.94,-23.978441016382796,-15.421558983617201,-28.0,,stable
HUAWEI_BOX_023,-12.26,-18.22,-15.03,-13.54,-17.23,-17.2,-14.26,-13.14,-15.72,-16.39,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.45888888888888896,-15.299000000000001,1.9828455982921784,-18.22,-12.26,-16.39,-12.26,-20.27637737265267,-12.503622627347331,-28.0,25.3,modere
HUAWEI_BOX_024,-14.34,-14.41,-18.02,-13.89,-18.9,-18.55,-15.74,-15.63,-14.82,-14.01,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.036666666666666674,-15.830999999999998,1.9436532040921748,-18.9,-13.89,-14.01,-14.34,-17.819560280020664,-10.200439719979338,-28.0,,stable
HUAWEI_BOX_025,-18.99,-22.68,-17.74,-22.22,-23.92,-19.73,-21.46,-23.97,-22.25,-22.27,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.36444444444444457,-21.523000000000003,2.070705998767892,-23.97,-17.74,-22.27,-18.99,-26.32858375758507,-18.21141624241493,-28.0,15.72,modere
HUAWEI_BOX_026,-28.98,-31.07,-27.92,-32.13,-31.83,-28.14,-28.89,-31.24,-29.56,-30.04,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,2,CRITICAL_FIBER_ISSUE,HUAWEI,-0.11777777777777763,-29.98,1.5208915513971106,-32.13,-27.92,-30.04,-28.98,-33.02094744073834,-27.059052559261662,-28.0,-17.32,critique
HUAWEI_BOX_027,-19.58,-16.8,-14.33,-16.52,-18.6,-15.03,-17.12,-15.31,-17.74,-15.67,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.43444444444444424,-16.669999999999998,1.653098101545499,-19.58,-14.33,-15.67,-19.58,-18.91007227902918,-12.429927720970822,-28.0,,stable
HUAWEI_BOX_028,-31.6,-30.35,-29.0,-29.66,-31.17,-31.06,-32.11,-30.43,-29.11,-30.04,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,2,CRITICAL_FIBER_ISSUE,HUAWEI,0.1733333333333336,-30.453000000000003,1.036511778354046,-32.11,-29.0,-30.04,-31.6,-32.07156308557393,-28.00843691442607,-28.0,,stable
HUAWEI_BOX_029,-17.35,-19.44,-19.65,-20.52,-22.29,-23.03,-23.04,-25.15,-26.11,-26.38,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-1.003333333333333,-22.296,3.041170096452277,-26.38,-17.35,-26.38,-17.35,-32.340693389046464,-20.419306610953537,-28.0,1.61,critique
HUAWEI_BOX_030,-19.17,-12.41,-17.73,-19.97,-18.92,-17.14,-17.58,-16.64,-12.71,-19.29,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.01333333333333305,-17.156,2.6396051893333508,-19.97,-12.41,-19.29,-19.17,-24.463626171093367,-14.116373828906632,-28.0,653.25,faible
HUAWEI_BOX_031,-16.69,-11.72,-13.97,-19.13,-17.13,-17.49,-11.19,-17.04,-14.15,-19.35,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.29555555555555557,-15.785999999999998,2.879313961500011,-19.35,-11.19,-19.35,-16.69,-24.993455364540022,-13.70654463545998,-28.0,29.27,modere
HUAWEI_BOX_032,-18.5,-18.97,-19.28,-20.6,-21.31,-23.56,-23.62,-24.58,-25.41,-27.46,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-0.9955555555555556,-22.329,3.0429716835137763,-27.46,-18.5,-27.46,-18.5,-33.424224499687,-21.495775500312998,-28.0,0.54,critique
HUAWEI_BOX_033,-14.02,-13.57,-17.52,-14.63,-12.89,-19.02,-19.24,-13.6,-11.81,-11.24,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.3088888888888888,-14.754,2.862618071315526,-19.24,-11.24,-11.24,-14.02,-16.85073141977843,-5.62926858022157,-28.0,,stable
HUAWEI_BOX_034,-15.48,-16.38,-17.85,-15.87,-13.32,-17.17,-20.34,-11.98,-18.08,-15.78,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.033333333333333215,-16.225,2.386770249148883,-20.34,-11.98,-15.78,-15.48,-20.45806968833181,-11.101930311668188,-28.0,366.6,faible
HUAWEI_BOX_035,-17.33,-13.45,-16.56,-12.8,-14.57,-16.02,-16.36,-12.55,-16.48,-19.1,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.19666666666666702,-15.522,2.120219066249733,-19.1,-12.55,-19.1,-17.33,-23.25562936984948,-14.944370630150525,-28.0,45.25,faible
HUAWEI_BOX_036,-16.45,-12.99,-16.22,-15.75,-18.52,-14.39,-15.7,-18.33,-16.27,-15.76,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.0766666666666666,-16.038,1.6313239340418495,-18.52,-12.99,-15.76,-16.45,-18.957394910722023,-12.562605089277975,-28.0,,stable
HUAWEI_BOX_037,-18.54,-19.42,-20.79,-14.84,-18.81,-12.63,-19.07,-15.84,-19.86,-14.27,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.4744444444444444,-17.407000000000004,2.773629992146273,-20.79,-12.63,-14.27,-18.54,-19.706314784606693,-8.833685215393306,-28.0,,stable
HUAWEI_BOX_038,-15.86,-13.21,-15.88,-17.75,-12.76,-17.52,-12.09,-14.76,-12.35,-12.43,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.38111111111111107,-14.461000000000002,2.1831804017686367,-17.75,-12.09,-12.43,-15.86,-16.70903358746653,-8.15096641253347,-28.0,,stable
HUAWEI_BOX_039,-18.54,-19.96,-19.77,-20.26,-22.51,-22.42,-24.71,-24.74,-26.47,-26.3,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-0.8622222222222224,-22.568000000000005,2.880327141913648,-26.47,-18.54,-26.3,-18.54,-31.94544119815075,-20.65455880184925,-28.0,1.97,critique
HUAWEI_BOX_040,-18.83,-18.82,-18.14,-14.4,-12.39,-15.87,-15.66,-13.42,-20.33,-15.48,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.372222222222222,-16.334,2.599693144285387,-20.33,-12.39,-15.48,-18.83,-20.575398562799357,-10.384601437200642,-28.0,,stable
HUAWEI_BOX_041,-18.09,-18.58,-19.66,-20.88,-22.28,-22.6,-23.67,-25.5,-26.17,-27.65,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-1.0622222222222222,-22.508000000000003,3.264668776801442,-27.65,-18.09,-27.65,-18.09,-34.048750802530826,-21.25124919746917,-28.0,0.33,critique
HUAWEI_BOX_042,-12.76,-15.62,-16.25,-17.16,-13.19,-16.43,-14.47,-17.51,-16.43,-13.95,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.13222222222222216,-15.376999999999999,1.6752515565662904,-17.51,-12.76,-13.95,-12.76,-17.233493050869928,-10.66650694913007,-28.0,106.26,faible
HUAWEI_BOX_043,-17.12,-21.86,-19.68,-21.57,-23.4,-23.01,-18.98,-20.32,-19.78,-20.09,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.32999999999999985,-20.581,1.9080266129054788,-23.4,-17.12,-20.09,-17.12,-23.82973216129474,-16.35026783870526,-28.0,23.97,modere
HUAWEI_BOX_044,-18.68,-19.94,-19.72,-21.63,-21.34,-24.15,-25.11,-24.85,-26.27,-27.32,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-0.9600000000000001,-22.901,3.0160918421029557,-27.32,-18.68,-27.32,-18.68,-33.23154001052179,-21.408459989478207,-28.0,0.71,critique
HUAWEI_BOX_045,-19.98,-12.3,-16.58,-17.49,-12.59,-18.97,-15.21,-11.99,-11.36,-15.2,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.5311111111111112,-15.166999999999998,3.063600097198646,-19.98,-11.36,-15.2,-19.98,-21.204656190509347,-9.195343809490653,-28.0,,stable
HUAWEI_BOX_046,-19.77,-15.91,-15.03,-19.14,-13.78,-11.82,-16.89,-17.13,-15.87,-13.58,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.6877777777777777,-15.892000000000001,2.477632382380853,-19.77,-11.82,-13.58,-19.77,-18.43615946946647,-8.72384053053353,-28.0,,stable
HUAWEI_BOX_047,-15.64,-12.93,-14.17,-15.41,-15.84,-17.56,-17.54,-16.65,-17.86,-18.02,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.2644444444444443,-16.162000000000003,1.692544435654989,-18.02,-12.93,-18.02,-15.64,-21.337387093883777,-14.70261290611622,-28.0,37.74,faible
