device_id,snr_T1,snr_T2,snr_T3,snr_T4,snr_T5,snr_T6,snr_T7,snr_T8,snr_T9,snr_T10,timestamp_T1,timestamp_T2,timestamp_T3,timestamp_T4,timestamp_T5,timestamp_T6,timestamp_T7,timestamp_T8,timestamp_T9,timestamp_T10,health_score,root_cause,slope,snr_mean,snr_std,snr_min,snr_max,snr_last,snr_first,ci_lower,ci_upper,snr_threshold,jours_avant_seuil,niveau_risque
IGD_016,23.44,24.09,19.83,20.1,19.54,19.35,22.08,21.89,26.75,26.56,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.3466666666666664,22.363,2.7867067381488932,19.35,26.75,26.56,23.44,21.09805479322817,32.02194520677183,6.0,,stable
IGD_017,18.74,18.39,18.11,13.63,14.87,12.77,10.58,9.73,6.2,6.4,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.371111111111111,12.941999999999998,4.694845400365526,6.2,18.74,6.4,18.74,-2.8018969847164303,15.601896984716431,6.0,0.29,critique
IGD_018,1.86,4.19,9.44,6.83,4.81,4.94,8.12,5.46,7.21,3.83,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,High Interference / Noise,0.21888888888888888,5.669,2.244531378954438,1.86,9.44,3.83,1.86,-0.5692815027506981,8.229281502750698,6.0,,stable
IGD_019,22.19,27.08,23.72,24.15,16.71,18.15,16.78,16.12,14.04,23.62,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.15888888888888886,20.256,4.392208252500481,14.04,27.08,23.62,22.19,15.011271825099058,32.228728174900944,6.0,,stable
IGD_020,15.67,23.49,23.67,25.38,16.01,19.7,24.23,17.99,20.78,16.62,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.10555555555555568,20.354000000000003,3.682768282450339,15.67,25.38,16.62,15.67,9.401774166397336,23.838225833602664,6.0,,stable
IGD_021,20.34,19.12,17.97,15.1,11.86,13.43,10.1,11.23,7.61,7.33,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.4455555555555555,13.409,4.630772553737059,7.33,20.34,7.33,20.34,-1.7463142053246354,16.406314205324634,6.0,0.92,critique
IGD_022,8.17,5.83,7.56,2.45,1.05,8.67,7.94,7.01,2.17,6.36,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,High Interference / Noise,-0.20111111111111107,5.720999999999999,2.7930288219064265,1.05,8.67,6.36,8.17,0.885663509063404,11.834336490936597,6.0,1.79,critique
IGD_023,21.53,20.25,23.69,21.42,18.66,20.5,17.25,18.94,26.01,18.97,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,-0.2844444444444447,20.722,2.5977716946987046,17.25,26.01,18.97,21.53,13.878367478390537,24.06163252160946,6.0,45.6,faible
IGD_024,21.01,15.7,18.98,18.47,14.77,13.91,12.58,20.55,21.41,19.1,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Configuration / Ports overload,-0.21222222222222223,17.648,3.165269165314206,12.58,21.41,19.1,21.01,12.896072435984157,25.303927564015844,6.0,61.73,faible
IGD_025,8.28,11.12,9.76,8.89,3.58,10.28,10.2,9.85,12.53,11.67,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,Crosstalk / Saturation,0.3766666666666667,9.616,2.4624973773251684,3.58,12.53,11.67,8.28,6.84350514044267,16.49649485955733,6.0,,stable
IGD_026,19.7,23.3,18.86,20.46,23.82,16.39,20.6,22.18,21.49,22.85,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.35000000000000026,20.965,2.267118827449893,16.39,23.82,22.85,19.7,18.40644709819821,27.293552901801792,6.0,,stable
IGD_027,19.81,17.4,16.14,16.04,11.2,11.75,9.19,8.18,6.2,4.51,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.7,12.041999999999998,5.126518853525807,4.51,19.81,4.51,19.81,-5.537976952910583,14.557976952910582,6.0,-0.88,critique
IGD_028,17.65,15.78,17.61,14.9,11.59,11.32,11.11,8.34,6.82,6.25,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,Line degradation,-1.2666666666666666,12.137,4.224510622545527,6.25,17.65,6.25,17.65,-2.0300408201892317,14.530040820189232,6.0,0.2,critique
IGD_029,18.28,21.16,14.03,19.57,16.31,21.4,20.09,20.25,21.0,21.35,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,Configuration / Ports overload,0.34111111111111114,19.344,2.45618584168399,14.03,21.4,21.35,18.28,16.535875750299383,26.16412424970062,6.0,,stable
IGD_030,20.09,18.1,19.86,17.29,16.51,18.97,17.57,11.57,17.49,20.43,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Configuration / Ports overload,0.037777777777777764,17.788000000000004,2.5549116096908975,11.57,20.43,20.43,20.09,15.42237324500584,25.43762675499416,6.0,,stable
IGD_031,19.29,16.07,15.94,15.28,12.6,11.62,10.83,8.46,8.6,6.4,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.432222222222222,12.509,4.092338234093344,6.4,19.29,6.4,19.29,-1.6209829388229533,14.420982938822954,6.0,0.28,critique
IGD_032,17.1,18.83,15.17,17.16,14.92,18.94,18.78,15.78,18.15,16.34,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Configuration / Ports overload,-0.08444444444444461,17.117,1.5312090357332375,14.92,18.94,16.34,17.1,13.338830289962853,19.341169710037146,6.0,122.45,faible
IGD_033,17.39,18.68,14.28,15.92,13.91,14.88,10.63,8.77,7.22,5.9,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,Line degradation,-1.2766666666666666,12.758,4.381835739098905,5.9,18.68,5.9,17.39,-2.6883980486338537,14.488398048633854,6.0,-0.08,critique
IGD_034,7.19,4.92,2.52,5.05,9.25,5.32,4.64,3.76,3.57,8.52,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,High Interference / Noise,0.14777777777777767,5.473999999999999,2.1852037789541634,2.52,9.25,8.52,7.19,4.23700059324984,12.80299940675016,6.0,,stable
IGD_035,10.33,7.37,7.05,6.74,4.84,3.76,3.79,4.52,7.04,3.33,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,High Interference / Noise,-0.7777777777777778,5.876999999999999,2.205367442299708,3.33,10.33,3.33,10.33,-0.9925201869074272,7.652520186907427,6.0,-3.43,critique
IGD_036,17.35,20.67,16.51,22.38,22.16,12.73,16.0,23.17,20.72,24.61,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.8066666666666664,19.630000000000003,3.7901158000485653,12.73,24.61,24.61,17.35,17.181373031904812,32.03862696809519,6.0,,stable
IGD_037,22.45,19.21,17.7,18.55,22.84,19.83,19.53,18.02,18.71,17.24,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,-0.578888888888889,19.408000000000005,1.8865594786983704,17.24,22.84,17.24,22.45,13.542343421751193,20.937656578248806,6.0,19.42,modere
IGD_038,18.64,15.94,22.46,16.94,18.8,24.2,24.46,19.28,18.66,19.65,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.112222222222222,19.903,2.8879521771971532,15.94,24.46,19.65,18.64,13.989613732693577,25.31038626730642,6.0,,stable
IGD_039,5.88,4.59,7.7,5.73,8.59,5.76,6.88,10.12,1.54,7.46,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,High Interference / Noise,0.17555555555555558,6.424999999999999,2.3498664264639,1.54,10.12,7.46,5.88,2.854261804130756,12.065738195869244,6.0,,stable
IGD_040,6.61,7.11,2.55,4.98,8.53,4.22,5.79,6.3,4.85,2.62,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,High Interference / Noise,-0.44333333333333336,5.356,1.9104984806181984,2.55,8.53,2.62,6.61,-1.1245770220116689,6.3645770220116695,6.0,-7.62,critique
IGD_041,22.0,21.92,19.26,20.61,15.63,20.59,20.01,22.2,24.04,23.25,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.1388888888888889,20.951,2.374196706256665,15.63,24.04,23.25,22.0,18.596574455736935,27.903425544263065,6.0,,stable
IGD_042,20.42,17.35,22.69,19.88,20.75,24.88,17.1,21.06,16.7,26.42,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.6666666666666666,20.725,3.252521244272579,16.7,26.42,26.42,20.42,20.04505836122575,32.794941638774254,6.0,,stable
IGD_043,4.69,4.75,8.39,8.77,5.65,4.11,3.04,5.65,8.97,7.38,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,High Interference / Noise,0.2988888888888888,6.14,2.102157621746444,3.04,8.97,7.38,4.69,3.259771061376969,11.500228938623032,6.0,,stable
IGD_044,20.13,17.26,16.92,19.22,21.5,19.93,17.31,15.76,20.3,21.75,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Configuration / Ports overload,0.1800000000000001,19.008000000000003,2.0655846629949592,15.76,21.75,21.75,20.13,17.70145406052988,25.79854593947012,6.0,,stable
IGD_045,18.22,22.87,23.6,24.42,23.84,20.84,20.68,19.53,18.99,15.62,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,-0.28888888888888886,20.861,2.844634129960009,15.62,24.42,15.62,18.22,10.04451710527838,21.195482894721618,6.0,33.3,faible
IGD_046,19.72,21.03,18.93,20.15,20.29,22.37,13.84,19.46,24.83,16.5,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,-0.35777777777777764,19.712,2.999895553737385,13.84,24.83,16.5,19.72,10.620204714674726,22.379795285325272,6.0,29.35,modere
IGD_047,18.2,21.19,13.99,20.9,19.74,13.77,16.91,21.42,14.83,23.08,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,Configuration / Ports overload,0.5422222222222222,18.403000000000002,3.378731024117388,13.77,23.08,23.08,18.2,16.457687192729917,29.70231280727008,6.0,,stable
IGD_048,15.15,23.2,17.43,18.69,17.06,17.17,17.98,18.94,22.41,21.85,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.7444444444444446,18.988,2.6442633924949477,15.15,23.2,21.85,15.15,16.667243750709904,27.0327562492901,6.0,,stable
IGD_049,16.67,17.9,23.1,17.13,17.36,24.26,25.52,24.3,19.63,22.27,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.622222222222222,20.814,3.4332886728486893,16.67,25.52,22.27,16.67,15.540754201216568,28.99924579878343,6.0,,stable
IGD_050,15.47,18.67,21.33,13.62,19.94,13.31,20.2,19.92,15.91,16.35,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Configuration / Ports overload,0.09777777777777787,17.472,2.9004206591458415,13.31,21.33,16.35,15.47,10.665175508074153,22.03482449192585,6.0,,stable
IGD_051,20.46,20.03,15.89,17.37,14.9,12.5,11.76,10.35,10.27,6.46,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,Line degradation,-1.5555555555555556,13.999,4.536103197924649,6.46,20.46,6.46,20.46,-2.4307622679323115,15.35076226793231,6.0,0.3,critique
IGD_052,18.87,18.83,16.23,15.37,12.72,13.53,10.01,10.42,7.32,7.43,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.2711111111111113,13.073000000000002,4.264653301005579,7.32,18.87,7.43,18.87,-0.9287204699709353,15.788720469970935,6.0,1.12,critique
IGD_053,1.82,7.67,9.43,8.06,6.18,4.72,10.26,5.45,2.77,4.52,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,High Interference / Noise,0.29999999999999993,6.088000000000001,2.767601448506952,1.82,10.26,4.52,1.82,-0.9044988390736259,9.944498839073624,6.0,,stable
